,Product,Consumer complaint narrative
54878,Mortgage,"My mortgage loan was sold to Carrington Mortgage by XXXX XX/XX/XXXX. I was told my first payment to Carrington would be due XX/XX/XXXX. When I finally spoke with Carrington I was told I owed them for XX/XX/XXXX and XX/XX/XXXX. When I tried to make a payment I was told I could n't make a partial payment. XX/XX/XXXX I paid for XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX and told my next payment due XX/XX/XXXX. 
When I called to make the payment I was told I was told I owed for 2 months and could n't make a partial payment. So I contacted Keep Your Home California to apply for the Mortgage Reinstatement Program. I called Carrington to inform them I applied for the program I gave them the Homeowner ID and was told okay. Because of the dates I deposited my checks KYHC said I had a income increase instead of a decrease. KYHC informed me XX/XX/XXXX. I called Carrington XX/XX/XXXX and informed them I wanted to bring my mortgage current I was told I owed a little over {$12000.00} and attorney fees but they could n't give me an amount for the legal fees and asked if I had the full amount I told them yes. I was then told they could n't accept the payment until after they contacted the foreclosure dept. to find out how much the legal fees amount and because it was the holidays they would send me a letter and an email the beginning of the year. On XX/XX/XXXX I received a letter from Carrington stating A Notice Default has been filed on XX/XX/XXXX."
173958,Bank account or service,"I HAVE SAVING, CHECKING, DEBIT CARD, CREDITCARD AT THE HSBC IN CALIFORNIA BRUNCH. 
1-I CAN NOT USE MY ACOOUNT PROPERLY ON INTERNET BANKING WITH BIIL PAYMENT, BANK TO BANK TRANSFER, WIRE TRANSFER.DATA BASE PROGRAM INCOMPLETE, EACH TIME I REPORTED THE ON MY ACCOUNT WITH HSBC EMAIL SYSTEM .ALSO CHAT ROOM SUPPORT. HSBC STOP RECORDING CUSTOMER PROBLEMS ON EMAIL SYSTEM. 
2-MY DEBIT CARD IS NOT FUNCTION ON MY ACCOUNT WITDROW MONEY AT ATM ON INTERNATIONAL BANKING XXXX XXXX.BECAUSE HSBC DOES NOT HAVE INTERNATIONAL BANKING IN XXXX. I HAVE TRAVELED HERE IN XXXX FOUR DAYS WITHOUT MONEY WITH HSBC. 
I CONTACTED HSBC CUSTOMER INTERNATIONAL SUPORT GROUP NY, XXXX, XXXX .I REPORTED ALL THESE PROBLEMS WITH PIN, CARDS PROBLEM AND SO MANY CHECKING TO DO WITH CUSTOMER SUPPORT .THEY ALL HIDE THE PROBLEMS OR THEY HAVE NO INFORMATION TO TELL ME AS CUSTOMER DIRECT. 
HSBC HAS VERY BIG PROBLEMS AND UNFAIR DEALING WITH AS CUSTOMER. 
ILLEGAL HOLDING MY BANK ACCOUNT AND I CAN NOT TO USE MY MONEY. 
I HAVE NOT BEEN TREATED FAIRLY.HSBC BANK IS VIOLATING BANKING REGULATION AND CONSUMER PROTECTIONA LAW. 
SINCERELY, XXXX XXXX"
108964,Debt collection,"XXXX real estate accounts with Select Portfolio Servicing are reporting on all XXXX of my credit reports. Select Portfolio Servicing has continued to break the law and report inaccurately to the XXXX credit bureaus. They have violated the FCRA over and over again. In particular they have violated FCRA Section 623 ( a ) ( 3 ) and FDCPA 807 ( 8 ). They had 30 days to report that I had disputed their the accounts and after numerous letters to them it has only been in the month of XXXX that they added the dispute language. Well after receiving numerous letters from me, asking them to validate the debt. In addition, to the above egregious acts they continue to report the amount wrong, they keep re-aging the foreclosure and charge-off. I have NEVER received foreclosure documents or charge-off documents. Lastly, I was told today that my accounts had be transferred and they have no information that they can provide me with however, they have enough information to keep inaccurately reporting to the credit bureaus. I believe that their actions are egregious toward me and as a direct result should be removed from all XXXX of my credit reports. I have pulled reports without the dispute language and reports with the language. 
I 've reached out to all XXXX credit bureaus only to continuosly responded with scripted information. XXXX ignore my concerns, talk extremely rude to me and have refused to help me. Please help me."
726049,Credit card,I have been a customer of American Express for over almost 30 years and i just noticed that I have a 30 day late payment reported to the credit agencies from XXXX ' 2012. I have never missed a payment from this account.
602804,Consumer Loan,"Creditor 's representatives gave me incorrect information regarding "" filing a dispute ''. If Creditor 's representative did n't mislead me, I would not have a balance on the account. I would have disputed a {$5000.00} charge and it would n't be on my credit"
651954,Mortgage,"In late 2015, I received a mortgage modification from Chase Mortgage. At that time the mortgage payment was set at {$850.00} and a special Chase bank account linked to the mortgage was set up for direct payroll deposit so the mortgage could never fall into arrears. Since that time, Chase Mortgage has consistently failed to debit mortgage payments from this linked account per the terms of the modification, thus causing the mortgage to fall into arrears. Now Chase is threatening to foreclose due to their own failure to comply with the terms. 

After being notified in writing about this accounting error with a NOTICE OR ERROR followed by a QUALIFIED WRITTEN REQUEST, Chase has failed to remedy the problem, and has merely responded with form letters. I even hired an attorney to send Chase a letter demanding that they fix their accounting errors, and Chase once again responded with a form letter. 

To resolve this matter to my satisfaction Chase must : *Cease and desist all foreclosure actions and threats. 
*Timely post FROM the linked bank account TO the mortgage a sum of {$850.00} on or about the due date in compliance with the terms of the modification. 
*Move any and all alleged missed payments to the end of the mortgage without the need for a full mortgage modification. 
*Notify all credit bureaus that my mortgage has been "" current '' since XXXX of 2015 and remains so."
573827,Debt collection,My former apartment complex is claiming I owe two months of rent. I abide to my lease and move out on my move out date. I do now owe them I have paid the amount I do owe. Collections can not find proof that I owe two months rent.
566410,Debt collection,I got behind on my credit card and they call me up to 10 times a day even on Sundays. I told them to send me their information so I could send them a letter not to call me more than three times a day. I did not receive that information they continue to call me 10 times a day.
606952,Credit reporting,I have a company called XXXX XXXX XXXX XXXX that has a debt listed on all XXXX of my credit files without providing proper debt validation as requested. I even went through the XXXX for assistance ( see explanations attached ). I find this very unfair for the credit bureaus to list this debt even after I disputed it over and over. I am seeking help from your company now to help me get debt validation
452856,Debt collection,I was charged a debt of a little over {$5000.00} back in XX/XX/2015 by IQ Data International. The other party responsible on this debt paid the debt in full. They say they have no record of the payment.
376729,Debt collection,"I have no received and disputed this debt XXXX times from XXXX. Every time I ask for verification of the debt, they have just stopped calling. The latest debt collector, however, did provide a verification but it has no detail at all so I ca n't figure out what the charges are for. I had a XXXX account at that address but everything was paid in full when I moved. 

Now the item has been reported to my credit report despite my continued disputing of the debt. And despite requesting to only be contacted in writing, they continue to call about this debt."
523999,Credit card,"Citicard : I subscribed to paperless billing and pay out of my bank account. I provided CITI with bank info. They did not deduct amount due, then claimed I was late, charged a late fee and interest. I decided to close account and pay, but I think this may be a scam and want to report it. I never received a paper bill, although requesting it."
11554,Student loan,"I have XXXX Fedloans that became delinquent and reported on my credit XXXX and XXXX days late in XX/XX/XXXX and XX/XX/2015, I was then granted a forebearance for a date before the delinquency through the date of delinquency on XX/XX/2015. When I checked my credit reports from the XXXX credit reporting agencies, I noticed that those delinquencies had not been updated per the forebearance, as stated by law, any new information must be updated by the furnisher. I first contacted Fedloan and asked them to remove the delinquencies as the granted me a forebearance for a date prior to the reported deliqencies through the date of the delinquencies, and they did not update the information, then I disputed the delinquencies All XXXX credit bureaus showing proof of the forebearance and they did not update my information or make the fedloans properly respond to my dispute and is still reporting the information that is incorrect on my credit report"
698306,Debt collection,"This company is located in XXXX, XXXX. They keep calling me from a number XXXX, which is an XXXX, XXXX area code, and where they do NOT have an office. I have dealings in XXXX, so I answer it. This is very deceptive."
123855,Bank account or service,"Paypal is holding {$13000.00} of my available money for the next 90 to 180 days. I sold a XXXX security tower on XX/XX/2016 on ebay for {$24000.00}. The buyer paid for the item immediately and paypal showed the balance as available in my account. I made arrangement for the buyer to pick up the item ( which comes with a florida title and registration ) in 3 days. I then tried to withdraw {$300.00} out of my local ATM the next morning after I had received clear payment, but my transaction was denied. I was very alarmed so I called paypal to find out what happened. Paypal informed me that they had associated my account with a delinquent account that was 14 years old ( my current paypal account has been in good standings without question for the last 12 years, and payapl has never tried to come after me for a delinquent account prior to this ). I informed paypal that the delinquent account did not belong to me and asked them to do a fraud investigation. They proceeded to conduct XXXX "" in-house '' fraud investigations over the next 48 hours only to inform me that they still believed it was linked to me. During all this time I have a balance of {$26000.00} which paypal is holding ransom until I agree to pay {$1000.00} for this other delinquent account. YES YOU HEARD ME RIGHT, INSTEAD OF FREEZING {$1000.00} OUT OF MY {$26000.00} BALANCE THEY EXTORT ME BY HOLDING MY ENTIRE ACCOUNT RANSOM UNTIL I AGREE TO PAY THEIR CHARGES. So I reluctantly pay the {$1000.00} to gain access of my money, but I did have them note that this delinquent account still was not my account and the only reason I was paying it off was because they were making me do so to un-freeze my account. Now my account is active again for 2 days before another department of paypal freezes my account AGAIN and will not let me touch my money. The merchant division of paypal freezes {$13000.00} and tells me they are going to hold my entire account for 90 to 180 days. Mind you the buyer has already taken possession of the item ( with a florida title and registration ) so I do n't have the option to cancel the transaction. Now I 'm stuck without my item and with a frozen account for the next 90 to 180 days. I use ebay and paypal as my main source of income to provide for my family of XXXX. Now I ca n't make any sales because every penny that goes into my paypal account is frozen up to {$24000.00}. The buyer has also agreed to sign an affidavit relinquishing all of his right to come after paypal or his credit card in the future. Paypal said that wold not change anything, they still would need to hold the money for 90 to 180 days. 
PLEASE PLEASE PLEASE HELP."
57178,Credit card,Chase card services is committing fraud by reporting my date of last payment as XX/XX/XXXX According to chase I paid these accounts with XXXX account ending in XXXX According to XXXX XXXX XXXX XXXX ending in XXXX was closed in XXXX so ther is no way i can pay from this account the date of last payment is XX/XX/XXXX so the credit cards listing should be removed from credit reports as it is too old after XX/XX/XXXX Chase is committing fraud by changing date of last payment so account listing remains and I am kept hostage for life Pls help Documents are attached
649174,Consumer Loan,"I purchased a XXXX from XXXX & XXXX XXXX on XXXX/XXXX/XXXX. The financier was a company by the nae of Carmel Financial who approved a revolving open ended charge account. On XXXX XXXX, XXXX, I received a letter from Carmel Financial notifying me that Carmel Financial Corporation Inc has sold my account to Aqua Finance and that the account has changed to a close ended, simple interest account. Shortly after that notice, I received a second notice from Aqua Finance notifying me that my account would be sold AGAIN to a third company - where the terms and conditions of the original contractual agreement would be changed again if I did not respond within 30 days of the notification. I called the number provided and stated that I did not agree to the second sale. During this same time I began receiving collection calls from Aqua Finance about an annual {$30.00} fee? Aqua Finance has been unable to reproduce a copy of the verbiage where I agreed to pay the annual fee. Now I am receiving late fee charges on statements for not paying the fee. I have never missed a payment at this point in time. 

As a consumer and a banking professional - Aqua Finance has conducted their business in an unethical manner at my expense. Transferring the original debt from company to company, all while changing the terms and conditions of the original contractual agreement to benefit their bottom line at the expense of customers. I have requested their lawyers contact me."
123619,Bank account or service,"I am a XXXX Citizen who is working as XXXX in XXXX XXXX, XXXX ( XXXX ). I have been trying to start an investment account in the XXXX for my retirement, but no company ( XXXX, XXXX, XXXX, Capital One, etc ... ) will do business with me because I reside overseas. I literally ca n't invest for my retirement in the XXXX because the XXXX firms are unwilling to work with me, a XXXX Citizen with a XXXX mailing address ( Minnesota ). How can these XXXX based companies discriminate against a XXXX citizen by refusing to create a XXXX Dollar based investment account solely because I reside abroad? I 'm not a rich person, and I am trying to save for retirement, but I am finding this to be impossible."
326166,Credit reporting,"The information submitted by XXXX XXXX and XXXX Bank as shown from captures of my credit report are incorrect. They incorrectly reported a delinquencies on my XXXX credit bureau reports. I have submitted my dispute with Experian, Equifax and XXXX and am looking for an urgent timely response. The payment for the credit card was made on time, any delay and lack of accurate report is caused by XXXX XXXX. They asked that I get this resolved by contacting the credit reporting bureaus directly. XXXX Bank is unable to verify the delinquency. 

Please refer to the captures uploaded as images for information."
210330,Consumer Loan,"I made a payment of $ XXXX over the phone for my XXXX payment. However as of XXXX XXXX, the payment has not been posted. Chrysler Capital claims that the payment was made on XXXX XXXX and because of the holiday, the payment is delayed in posting. I am now 31 days late and now do for XXXX. I have reason to believe that because I called and was upset, Chrysler Capital is being vindictive and delaying payment processing. I believe that this is a form of harassment, that is a violation of the FDCPA. The payment has cleared my bank, and Chrysler Capital admits that the payment is there. They just refuse to post it."
230376,Mortgage,"This complaint is against several institutions ... I had the bad Countrywide XXXX XXXX & HELOC home loans that were at the center of the financial crisis. I was wiped out in XX/XX/XXXX & fought to hold onto my home with countless refinancing attempts .The servicing was taken over by B of A. I was able to modify my XXXX mortgage but not my HELOC which went into foreclosure XX/XX/XXXX. I worked tirelessly to get a payment I could afford with no assistance and had to file Bankruptcy to stop the foreclosure. I ended up having to sell my home which closed escrow XXXX XXXX ... but the nightmare continued. B of A held the payoff funds ( over XXXX ) for 6 weeks for some reason, during that time they sold the loan to XXXX who kept trying to collect mortgage payments from me saying I was behind and they were going to begin foreclosure again, the funds went missing, B of A wired the funds to XXXX with the incorrect account #, XXXX sent it back to B of A, B of A sent it to the title company, who sent it back to B of A, who sent it back to XXXX who wanted more than the payoff amount. This went on for 2 months without anyone taking responsibility for it. It was an absolute disaster. I finally found a department at B of A who would complete the transaction. No one even apologized for the incompetence. I 'm sure my experience with these big banks in not unique but I felt powerless against this system. They held my life ransom for years and I want retribution. In XX/XX/XXXX I joined a XXXX lawsuit XXXX vs B of A which is still and active suit & paid over XXXX to a firm XXXX XXXX in California who has just been shut down as fraudulent and now all of the plaintiffs are without an attorney to protect us. It feels as if the consumer just continually left holding the bag ... We have no power or rights. It 's been devastating."
153962,Mortgage,I paid off my mortgage with Nationstar Miortgage in XXXX 2015. When I called to find out what the final payment was I was informed to send a few XXXX dollars more to cover additional interest that might be due. I was sent a refund check on XXXX/XXXX/15 for {$330.00} which bounced when I deposited in my bank. I was charged a {$12.00} returned item fee by my bank. I have contacted Nationstar numerous times and was told that the check would be resent to me. Finally today I got an email from the supervisor that I spoke to who now states that someone tried to cash the check twice and that if given approval they will reissue a check. I do not understand how a financial institution can bounce a check. In addition I have not received the Satisfaction of Mortgage document which I am now told it is my responsibility to obtain. I have had numerous mortgages and I own a number of homes and have never heard of such a thing. I am always sent the document as soon as it is recorded for which a fee is charged. I do not know what else to do to get the money that is due me and the document that I need to sell the house.
675719,Bank account or service,I opened an account with PNC based on incentives offered by a rep. totaling {$250.00}. I fulfilled the required obligations as outlined by the rep but never received the incentives. I emailed her XXXX times including just after completing the last requirement. I received no response. After several months of no responses I filed a complaint with their corp office. I was told I had not completed all the necessary requirements and that the deadline to do so had lapsed. I pointed out in a response that had the rep responded to my emails I would have had more than enough time to do so even tho I dispute that I had not fulfilled all the requirements. The emails attached clearly show I contacted her approx. 20 days after opening the account which according to them I had 60 days to complete the requirements for the incentive. I would have had ample time to complete any additional requirements they felt I had not met. Again I strongly dispute I had not completed each requirement set forth at the time I agreed to open the account. I also I informed PNC I stopped using the account because of the rep 's and PNC 's refusal to respond to my correspondences.
271207,Consumer Loan,"Long story short my dentist referred me to a loan company to pay for some dental work ( XXXX for XXXX ) he would do for me the next day. The loan was funded for {$7000.00} to the dentist. Before the close of business that very same day I called the dentist and spoke to his staff to say I changed my mind and I did not want the to do the XXXX. The next morning I called the loan company and the loan company said they could NOT cancel the loan since the money already went to the dentist. I called the dentist office to tell them this to ask for a refund of my {$500.00} in cash I gave them the day before and they said the dentist would call me. Well he called me 3 days short of a month later and said he "" incurred some cost '' before I cancelled my appointment. He said he would cancel the loan with the loan company and give me a partial refund of my {$500.00}. This never happened. I have called his office many times since XXXX XXXX when this first started. Now the loan company is calling me to pay off the loan. I did not receive anything for this loan and I did not receive the money. My dental insurance company paid the dentist approximately {$150.00} for the examination that day, so he can not claim he received nothing for my visit that day. I received nothing that day. The loan company is calling me up to 5 times a day including Saturday and Sunday. That is the basis for the claim these collection calls are not fair, the dentist has my money, and he has now contributed or the loan company to negative information on my credit report. 
The following is a longer version with some additional information : On the morning of XXXX XXXX, 2016 my dentist, XXXX XXXX XXXX, after a brief examination, said I had a broken crown and I needed a XXXX. In fact he said I could use XXXX on the other side of my mouth. After he told me that the total cost is {$7500.00} I told him I did not have enough money. He referred me to his staff to secure a loan with the Lending Club. I signed a paper and his staff spoke to the loan company on the phone, I did not talk to them at that time. 
My initial examination was XXXX XXXX, 2016 and the loan was funded that BEFORE the procedure ... .about three weeks later I received a letter from the Lending Club saying "" sorry my loan application has been DECLINED, yet now they are calling me for payments when they gave the money to my dentist."
266113,Bank account or service,"My name is XXXX XXXX and I would like to relay an unfortunate story of my experience with TCF National Bank. It is my contention that TCF is conducting fraudulent, misleading, and deceptive practices, in transactions regarding the processing and posting of checks, and subsequent overdraft fees charged by the bank. 

I had only been a customer at TCF for about XXXX months when I decided to write my first check to a business for tree services, for {$170.00}. I was watching several times daily for the check to come thru on my online account register, as my TCF account was used on a daily basis. 

On Tuesday, XXXX XXXX, at the end of the business day ( XXXX XXXX ), I checked my account balance, and saw a positive balance of {$180.00}, indicating that the check had NOT posted to my account, by the end of the business day, on XX/XX/XXXX. On Wednesday, XX/XX/XXXX, I saw that the check had posted to my balance ( both available balance and total balance ), and had brought my available balance into the negative. Seeing this, I deposited {$100.00} into the account prior to the end of the business day, and brought the balance back into the positive. In other words ; I had a positive available balance at the end of the business day on XX/XX/XXXX, and then again on XX/XX/XXXX. There was not any one day that my account was in the negative, at the end of the business day, while banking at TCF bank. Not ever. 

However, TCF apparently was desperate for their {$37.00} overdraft fee, so they decided to get creative. Even though TCF did not process the {$170.00} check until XX/XX/XXXX, they changed their records to reflect that it posted to my account on XX/XX/XXXX, even though it had not. When I went into the bank the day the check posted on the XX/XX/XXXX to deposit money so the check would not overdraft, the teller told me that the check had posted that day ( not the previous day ). But by XX/XX/XXXX my online account register showed that the check posted on XX/XX/XXXX, which it had not!! This is Fraud!!! My available account balance was {$180.00} at the end of the business day on XX/XX/XXXX according to TCF 's online register and the check had not posted, but the bank fraudulently changed the date on their records, to show that the check posted to my account the day prior!! 

The transaction information report that I printed off the TCF web site, showed the "" Date/Time Initiated '' as XXXX XXXX on XX/XX/XXXX ( curiously 1 minute before the next day ), yet it also showed the "" Date/Time Posted '' as XXXX XXXX on XX/XX/XXXX, earlier in the day!! This was blatantly false, and what I consider fraud! How could the check be initiated a minute before midnight, yet posted earlier in the day? The check did not post to my account until XX/XX/XXXX, yet they cookedtheir records to show that it posted the previous day, so that they could swindle {$37.00} from me. 

On Thursday XX/XX/XXXX, I went to my local TCF branch ( XXXX location ), and spoke to a rude and indifferent branch manager named XXXX. XXXX told me that even though my available balance showed a balance of {$180.00} at the end of the business day on XX/XX/XXXX, and that the check was processed on XX/XX/XXXX, it was ok for them to back date the check to the prior day, because the check was processed through the federal reserve bank, and that may not have shown up on my available balance until the next day ; thus they get to charge their overdraft fee. When I explained that I had never had an overdraft of any kind while a customer at their bank, XXXX early rolled his eyes. XXXX was rude, indifferent and extremely condescending towards me during our conversation. Needless to say, XXXX refused to waive the one and only overdraft fee that I had received while banking at TCF. This practice of backdating checks to the prior day, even though it had not posted until the following day, is straight-up fraud. At the very least, I am owed my {$37.00} back."
174686,Debt collection,"Stellar Recovery placed an item on my credit file and on XXXX XXXX, 2016, a validation request was forwarded to Stellar Recovery, since that time, no response has been made regarding the validation of the debt at all. I have since sent correspondence to Stellar Recovery advising that since they failed to supply me with the proper validation items regarding this debt, they must now remove their tradeline from my credit fil"
385967,Bank account or service,"I Made An Online Purchase And Did n't Receive The Product. I Had Contacted The Merchant And They Sent me a Refund E mail Telling Me To Contact My Bank "" BMO Harris '' in Order To Get A Refund. I Contacted BMO Harris and They Told Me That They Would Send Me A Claim Form To Fill Out And To Drop It off at Any BMO Branch. 
After A Week I Still Did n't Receive The Claim Fourm And Contacted BMO Harris Again And They Said They Would Send The Fourm Again. Instead Of The Claim Forum I Received A Letter Telling Me That My Dispute Is With The Merchant Over An Authorized Transaction And That They Will Not Continue The Claim And BMO Was Closing My Claim. 
( This Is The Refund E mail From The Merchant ) Important Order Info Inside ... 

Act immediately if you want a 100 % REFUND on your order. Your order will NOT ship! Please read below and follow the instructions very carefully. Failure to follow the instructions will mean you will not receive your refund. 

As was stated in a previous email, the money you paid for your order is being sequestered by XXXX and as much as we would like to refund you directly, we can not as we have been locked out of managing our XXXX Account. 

However, this does not mean that you can not receive the FULL REFUND that you are owed. Follow the following instructions in order to get your money back ASAP. 

1. If you paid for your order via XXXX, log into your XXXX account and effect a dispute on your payment to XXXX XXXX. If you paid for your order via Credit Card, please contact your bank or credit card issuer as soon as you are able. 

Again, we sincerely apologize for any inconvenience this has caused by XXXX. 

The Management XXXX This Is The Only Information The Merchant Is Providing Witch Gives Permission For My Bank To Reverse the Charges. 
I Do n't Know Why The Bank Will Not Reverse The Charges??"
750951,Credit reporting,"Noticed some fraudulent stuff on my credit reports and did n't know what to do. Call and asked around everywhere I went, PD, ftc, now here said to file theft affidavit. I 've tried to work with this bureau but they wo n't help. Attached is my file and let me know if you need me to do anything else."
495329,Credit reporting,"Approximately every XXXX months ( XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX ) I get a hard credit inquiry from XXXX. I have never authorized this hard credit inquiry and I would like this company to stop making hard credit inquiries."
50219,Mortgage,"I was making regular payments to my home mortgage for a few years. My loan was eventually transferred to fifth third bank. I setup automatic payments through my bank. Fifth Third bank did not have an online payment method for non-checking account customers. At some point without my knowledge, my total payment due changed and the previous amount I setup did not cover the full amount. The bank did not apply my partial payment and stated I was late. I called Fifth third bank to rectify. They waived the late fee and said they would work on removing the record from my credit statement. I was able to immediately make the missing balance payment and have not been late since. My credit score has been severely negatively affected by this."
423775,Prepaid card,"Issue with Card Numbers : XXXXI purchased a US Bank Visa Variable Gift cards for {$500.00} at XXXX ( XXXX XXXX XXXX XXXX , XXXX XXXX , CA ) on XXXX/XXXX/2015 and XXXX/XXXX/2015. 

The {$500.00} gift card I purchased on XXXX/XXXX/2015 which was fraudulently used for {$490.00} at a XXXX XXXX in XXXX XXXX on XXXX/XXXX/2015. My funds are held for over XXXX months now. 

I tried to use the one I purchased on XXXX/XXXX/2015 on same day due to my previous card being drained by fraudsters before I used it, but it was declined saying that it was not activated. I faxed in required information for activating it. Later, when I tried to use the gift card at a XXXX in XXXX XXXX, CA on XXXX/XXXX/2015, the purchase was declined. When I checked online I found that it was fraudulently used for a purchase of {$490.00} at XXXX in XXXX, CA on XXXX/XXXX/2015 while I still have the possession of my gift card. I did not even know it was activated and the funds were drained. 

I faxed all the necessary documents to US Bank. It seems like something is really wrong with these prepaid gift cards that makes it so easy for fraudulent transaction while we still have possession of the card. I would suggest everyone not to buy these US Bank Gift cards to avoid this hassle and being out of your funds for several months."
147032,Debt collection,"Signed up with tmobile, had a phone and a tablet with data. My tablet kept breaking under manufacturers warranty. I called the manufacturer to send it in for a warranty repair ( which would have been free ( - {$7.00} shipping ). Unfortunately since my tablet had LTE, they told me I have to go through where I activated it to have it replaced. I went to XXXX and they created a service order to get me another sent out. They charged me {$20.00} for shipping and tried to tell me if I had a protection plan it would have been free. I 'm not happy about the {$20.00} shipping vs the {$7.00}. Anyway, I get my tablet and it has the same issue as the first. I go into XXXX, and I 'm hit with another {$20.00} shipping charge ( mind you it 's still under mfg warranty ). I reluctantly paid them again and waited for my new tablet. When it came in the mail, it was cracked in top right corner and bottom right corner. I go to XXXX store and yet again they tell me {$20.00}. I did n't warranty it again that time because thatwould have been {$60.00} to get a warrantied tablet working. Anyway, I decided I was done with XXXX. I called them up to cancel my services and to lay my final bill. The first person that picked up the phone was very unhelpfull, I told him I wanted to cancel my lines, yet he was very persistant to try to keep me as a customer. I refused, and that should have been the end of it. A few months later I realized that he did n't cancel my account and I have been getting billed for tablet data. I call back and the second person that helped me was very helpful, she closed my account fully and she looked over my account, and she told me my final balance. I paid for it over the phone and she told me that everything is payed for and to ignore the next bill in the mail, as todays payment would not show up. Bill shows up and gets ignored like she told me. The bill kept showing up for the same acct. They called me about it. I told them to check their records, everything was payed for. They sent me to collections, so I filed a XXXX complaint. An agent from XXXX called me to inquire on the complaint made by me, I expected him to have my information and history ready. He calls, he tells me I owe {$110.00} for my tablet, I asked him to go through my notes and records on the account, but he told me he did n't have any of that ready, and insisted I pay them. He did no research into my account, and talked down to me. He was n't willing to go through my acct history, and told me to just pay them. Now I get annoying collection calls all day from a XXXX."
535097,Credit card,"I received a bill in the mail for a credit card, which I never applied for, and money was taken from on line businesses, XXXX and XXXX to total {$1100.00}"
43315,Debt collection,"Southwest Credit Systems L.P. a appear on my XXXX credit report, which i have reached out to the company to rectify the problem because i am not and have n't done any business with XXXX for quit sometime. the account in question belong someone from XXXX NJ I was also told the SSN was different.. That 's what i was told when i initiated an investigation. I would for both XXXX and Southwest Credit Systems to stop all collection efforts. and to instruct the credit bureau to delete it from my credit file. Its important to note i have NEVER lived in XXXX NJ. and i was told that the account also had a SSN which was not mine."
636562,Mortgage,"I have received two telephone calls in the last 18 hours from NationStar mortgage asking when my payment will be received. The payment is not due until XXXX XXXX, but the calls began on XXXX XXXX. 
This is my first month with NationStar, as my mortgage was transferred from XXXX. Out of force of habit, I paid XXXX the amount due, which cleared my account on XXXX XXXX. XXXX informed me that they would forward any errant payments for the next 60 days. However, the harassing telephone calls from NationStar continue."
353046,Bank account or service,I had an account with Wells Fargo that I paid on time every month with out any late payments. They reported a late payment on my account and although the account has since been closed they are continuing to report the late pay on my account and negatively impacting my credit score and my ability to get the best interest rates on credit. I paid the final payment with a check clearly dated on XXXX/XXXX/2012 as the payment was due on XXXX.
176779,Mortgage,"Our XXXX loan was sold to Carrington Mortgage Services. After two months, they said we could get into a program to reduce our indebtedness on our home since we were underwater. Carrington then sold the loan to XXXX XXXX for approximate value of our house. Carrington was paid in full for the loan yet they reported that we short sold the loan. Since we still live in the house, this is impossible. Senator XXXX XXXX 's office has stated that we were not in any Nevada home refinance program. Note that Carrington purchased the loan in XXXX 2014 and sold it in XXXX of 2014. The report on our credit prevents us from obtaining lower interest in a refinance for three years. 

Note also that we never signed any paperwork with Carrington"
448534,Credit reporting,"I am filing this complaint because Experian has continued to ignore my request to provide the documents that they have on file that was used to verify the accounts I disputed. Being that they have exceeded the 30 day mark and can not verify or validate these accounts, under Section 611 ( 5 ) ( A ) of the FCRA - they are required to "" ... promptly delete all information which can not be verified. '' that I have disputed. Please resolve this manner as soon as possible. Thank you."
